latitude,longitude,is_land,is_biome,is_country,is_urban
19.28227339918616,-99.65325030819928,True,Deserts & Xeric Shrublands,Mexico,True
19.636601649441648,-99.13706710368544,True,Deserts & Xeric Shrublands,Mexico,True
2.115322483359094,-74.77313225051279,True,Tropical & Subtropical Moist Broadleaf Forests,Colombia,True
2.8399708818879645,-60.71159194674386,True,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Brazil,True
20.13095373696703,-98.65710990253989,True,Tropical & Subtropical Coniferous Forests,Mexico,True
20.61686450012742,-103.1935114248584,True,Tropical & Subtropical Dry Broadleaf Forests,Mexico,True
20.635628086293565,-100.59532426618324,True,Tropical & Subtropical Dry Broadleaf Forests,Mexico,True
20.98518112787758,81.04197825201004,True,Tropical & Subtropical Moist Broadleaf Forests,India,True
21.11882672829391,86.54577573522295,True,Tropical & Subtropical Moist Broadleaf Forests,India,True
21.75201098198076,80.06351572227891,True,Tropical & Subtropical Moist Broadleaf Forests,India,True
21.775201568808757,84.31485435373634,True,Tropical & Subtropical Dry Broadleaf Forests,India,True
21.90149313244616,-102.2822180454409,True,Deserts & Xeric Shrublands,Mexico,True
22.00022107341965,87.12115521621013,True,Tropical & Subtropical Moist Broadleaf Forests,India,True
22.02414600580967,120.74462509632554,True,Tropical & Subtropical Moist Broadleaf Forests,Taiwan,True
22.08448553698743,82.7967272012745,True,Tropical & Subtropical Moist Broadleaf Forests,India,True
22.09043795595549,73.57666181866477,True,Tropical & Subtropical Dry Broadleaf Forests,India,True
22.27558402163011,-97.797843498701,True,Tropical & Subtropical Moist Broadleaf Forests,Mexico,True
22.291604424445115,70.81077464196446,True,Deserts & Xeric Shrublands,India,True
22.329550262077817,-97.87431874205714,True,Tropical & Subtropical Moist Broadleaf Forests,Mexico,True
22.396717134731663,91.87244294420812,True,Tropical & Subtropical Moist Broadleaf Forests,Bangladesh,True
22.47587053147391,70.0376667504318,True,Deserts & Xeric Shrublands,India,True
22.560784430385496,70.53905169625412,True,Deserts & Xeric Shrublands,India,True
22.90146718718273,91.67818550525288,True,Tropical & Subtropical Moist Broadleaf Forests,Bangladesh,True
22.90933149720888,76.04696739001633,True,Tropical & Subtropical Dry Broadleaf Forests,India,True
23.029953413361756,74.12840876438196,True,Tropical & Subtropical Dry Broadleaf Forests,India,True
23.150697935215504,120.40100436395612,True,Tropical & Subtropical Moist Broadleaf Forests,Taiwan,True
23.260592022106845,72.64194038943681,True,Tropical & Subtropical Dry Broadleaf Forests,India,True
23.550336301171622,68.51838505289601,True,Deserts & Xeric Shrublands,India,True
23.668398937370355,120.27153130358828,True,Tropical & Subtropical Moist Broadleaf Forests,Taiwan,True
23.797411407012227,90.40266632419112,True,Tropical & Subtropical Moist Broadleaf Forests,Bangladesh,True
24.07953533560608,85.77845106576535,True,Tropical & Subtropical Dry Broadleaf Forests,India,True
24.8137785864168,88.1428726553965,True,Tropical & Subtropical Moist Broadleaf Forests,Bangladesh,True
25.061541611142047,84.16765185690826,True,Tropical & Subtropical Moist Broadleaf Forests,India,True
25.27497458282818,87.95274660359303,True,Tropical & Subtropical Moist Broadleaf Forests,India,True
25.307046075570703,51.50111086454774,True,Deserts & Xeric Shrublands,Qatar,True
25.329311833126116,85.57549088150506,True,Tropical & Subtropical Moist Broadleaf Forests,India,True
25.388681062658392,83.45960459619647,True,Tropical & Subtropical Moist Broadleaf Forests,India,True
25.72440854299268,72.85722577935113,True,Deserts & Xeric Shrublands,India,True
25.78409099363856,-108.97283620259049,True,Tropical & Subtropical Dry Broadleaf Forests,Mexico,True
26.10354421555121,51.279347572553775,True,Deserts & Xeric Shrublands,Qatar,True
26.2453055463765,75.43770592395916,True,Tropical & Subtropical Dry Broadleaf Forests,India,True
26.44367604676792,-97.70830666167532,True,"Tropical & Subtropical Grasslands, Savannas & Shrublands",United States of America,True
26.613825976263257,75.5105793805559,True,Tropical & Subtropical Dry Broadleaf Forests,India,True
26.714846472290503,83.32664825748748,True,Tropical & Subtropical Moist Broadleaf Forests,India,True
26.836937885081213,85.15196472751944,True,Tropical & Subtropical Moist Broadleaf Forests,Nepal,True
26.84169295404205,75.76705117227,True,Tropical & Subtropical Dry Broadleaf Forests,India,True
26.86883310787813,70.90117768977984,True,Deserts & Xeric Shrublands,India,True
26.910476898470904,-101.44638785048764,True,Deserts & Xeric Shrublands,Mexico,True
26.959560332858445,75.71478669744383,True,Tropical & Subtropical Dry Broadleaf Forests,India,True
26.97815673272106,79.5012377587737,True,Tropical & Subtropical Moist Broadleaf Forests,India,True
27.14692002025663,76.64148040896242,True,Tropical & Subtropical Dry Broadleaf Forests,India,True
27.37318941770667,-81.43431285094603,True,Temperate Conifer Forests,United States of America,True
27.472576405516627,-109.9569883135616,True,Tropical & Subtropical Dry Broadleaf Forests,Mexico,True
27.712848502888107,74.45690897259364,True,Deserts & Xeric Shrublands,India,True
27.75285751065995,74.71070967934168,True,Deserts & Xeric Shrublands,India,True
27.758049491931164,-97.42994786629107,True,"Tropical & Subtropical Grasslands, Savannas & Shrublands",United States of America,True
27.793917734972425,73.35090447759117,True,Deserts & Xeric Shrublands,India,True
27.9622310996281,-97.50008563307333,True,"Tropical & Subtropical Grasslands, Savannas & Shrublands",United States of America,True
28.12986372352256,-80.69681227527909,True,Temperate Conifer Forests,United States of America,True
28.24242710607058,-100.94749692800592,True,Deserts & Xeric Shrublands,Mexico,True
28.561292656077853,80.0330415028481,True,Tropical & Subtropical Moist Broadleaf Forests,India,True
28.623977206996127,-106.1138412579492,True,Deserts & Xeric Shrublands,Mexico,True
29.114383218777533,-110.96488995461878,True,Deserts & Xeric Shrublands,Mexico,True
29.1197518187268,75.75909806279299,True,Deserts & Xeric Shrublands,India,True
29.52086740024233,-98.35416857232566,True,"Temperate Grasslands, Savannas & Shrublands",United States of America,True
29.52830075882227,-98.06412546219364,True,"Temperate Grasslands, Savannas & Shrublands",United States of America,True
29.60576972839409,-95.12768631687794,True,"Tropical & Subtropical Grasslands, Savannas & Shrublands",United States of America,True
29.651906164214697,-82.3083674406111,True,Temperate Conifer Forests,United States of America,True
29.92623319881356,78.14078080121651,True,Tropical & Subtropical Moist Broadleaf Forests,India,True
29.93886683691666,-90.09234213816168,True,Temperate Broadleaf & Mixed Forests,United States of America,True
29.95136302298404,77.52518074541756,True,Tropical & Subtropical Moist Broadleaf Forests,India,True
29.96906773753575,77.52920394675455,True,Tropical & Subtropical Moist Broadleaf Forests,India,True
3.1183093029321127,101.60089270627664,True,Tropical & Subtropical Moist Broadleaf Forests,Malaysia,True
30.057623078030232,-95.6260005062198,True,"Tropical & Subtropical Grasslands, Savannas & Shrublands",United States of America,True
30.066203805385555,76.7898104671961,True,Deserts & Xeric Shrublands,India,True
30.07732521566101,-94.09177393865252,True,"Tropical & Subtropical Grasslands, Savannas & Shrublands",United States of America,True
30.21916934890952,-81.55794621443025,True,Temperate Conifer Forests,United States of America,True
30.425652328228125,-97.78083665885562,True,"Temperate Grasslands, Savannas & Shrublands",United States of America,True
